"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1603_C01_001E","Estimate!!Total!!Total population 5 years and over"
"S1603_C01_001M","Margin of Error!!Total!!Total population 5 years and over"
"S1603_C01_002E","Estimate!!Total!!Total population 5 years and over!!AGE!!5 to 17 years"
"S1603_C01_002M","Margin of Error!!Total!!Total population 5 years and over!!AGE!!5 to 17 years"
"S1603_C01_003E","Estimate!!Total!!Total population 5 years and over!!AGE!!18 to 64 years"
"S1603_C01_003M","Margin of Error!!Total!!Total population 5 years and over!!AGE!!18 to 64 years"
"S1603_C01_004E","Estimate!!Total!!Total population 5 years and over!!AGE!!65 years and over"
"S1603_C01_004M","Margin of Error!!Total!!Total population 5 years and over!!AGE!!65 years and over"
"S1603_C01_005E","Estimate!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Native"
"S1603_C01_005M","Margin of Error!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Native"
"S1603_C01_006E","Estimate!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born"
"S1603_C01_006M","Margin of Error!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born"
"S1603_C01_007E","Estimate!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen"
"S1603_C01_007M","Margin of Error!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen"
"S1603_C01_008E","Estimate!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen"
"S1603_C01_008M","Margin of Error!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen"
"S1603_C01_009E","Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined"
"S1603_C01_009M","Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined"
"S1603_C01_010E","Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!Below poverty level"
"S1603_C01_010M","Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!Below poverty level"
"S1603_C01_011E","Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!At or above poverty level"
"S1603_C01_011M","Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!At or above poverty level"
"S1603_C01_012E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1603_C01_012M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1603_C01_013E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S1603_C01_013M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S1603_C01_014E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S1603_C01_014M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S1603_C01_015E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree"
"S1603_C01_015M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree"
"S1603_C01_016E","Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher"
"S1603_C01_016M","Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher"
"S1603_C02_001E","Estimate!!Speak only English at home!!Total population 5 years and over"
"S1603_C02_001M","Margin of Error!!Speak only English at home!!Total population 5 years and over"
"S1603_C02_002E","Estimate!!Speak only English at home!!Total population 5 years and over!!AGE!!5 to 17 years"
